date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:07:35	6770/6770	---M--	200	added ('OK')	text/plain	date:Tue,%2006%20Feb%202018%2016:24:47%20GMT	https://www.abdn.ac.uk/robots.txt		(from )
18:07:35	62762/62762	---MC-	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2012:38:25%20GMT	https://www.abdn.ac.uk/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day4/Web17/Site17/www.abdn.ac.uk/index.html	(from )
18:07:35	12935/12935	---M--	200	added ('OK')	image/png	date:Tue,%2021%20Nov%202017%2010:54:46%20GMT	https://www.abdn.ac.uk/global/images/icons/apple-touch-icon.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day4/Web17/Site17/www.abdn.ac.uk/global/images/icons/apple-touch-icon.png	(from https://www.abdn.ac.uk/)
18:07:36	2174/2174	---M--	200	added ('OK')	image/png	date:Tue,%2021%20Nov%202017%2010:54:46%20GMT	https://www.abdn.ac.uk/global/images/icons/favicon-32x32.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day4/Web17/Site17/www.abdn.ac.uk/global/images/icons/favicon-32x32.png	(from https://www.abdn.ac.uk/)
18:07:36	1280/1280	---M--	200	added ('OK')	image/png	date:Tue,%2021%20Nov%202017%2010:54:46%20GMT	https://www.abdn.ac.uk/global/images/icons/favicon-16x16.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day4/Web17/Site17/www.abdn.ac.uk/global/images/icons/favicon-16x16.png	(from https://www.abdn.ac.uk/)
18:07:36	418/418	---M--	200	added ('OK')	application/json	date:Tue,%2021%20Nov%202017%2010:54:46%20GMT	https://www.abdn.ac.uk/global/images/icons/manifest.json	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day4/Web17/Site17/www.abdn.ac.uk/global/images/icons/manifest.json	(from https://www.abdn.ac.uk/)
18:07:36	16456/16456	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2021%20Nov%202017%2010:54:46%20GMT	https://www.abdn.ac.uk/global/images/icons/safari-pinned-tab.svg	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day4/Web17/Site17/www.abdn.ac.uk/global/images/icons/safari-pinned-tab.svg	(from https://www.abdn.ac.uk/)
18:07:37	254/254	---M--	200	added ('OK')	text/xml	date:Tue,%2021%20Nov%202017%2010:54:46%20GMT	https://www.abdn.ac.uk/global/images/icons/browserconfig.xml	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day4/Web17/Site17/www.abdn.ac.uk/global/images/icons/browserconfig.xml	(from https://www.abdn.ac.uk/)
18:07:37	12896/12896	---M--	200	added ('OK')	text/css	date:Wed,%2026%20Oct%202022%2013:14:32%20GMT	https://www.abdn.ac.uk/central-css/homepage_v2.css?cb=20221026	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day4/Web17/Site17/www.abdn.ac.uk/central-css/homepage_v2435c.css	(from https://www.abdn.ac.uk/)
18:07:37	13758/13758	---M--	200	added ('OK')	text/css	date:Wed,%2003%20Aug%202022%2007:05:47%20GMT	https://www.abdn.ac.uk/global/css/opentext_responsive/funnelback_search.css?cb=20221026	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day4/Web17/Site17/www.abdn.ac.uk/global/css/opentext_responsive/funnelback_search435c.css	(from https://www.abdn.ac.uk/)
18:07:38	587969/587969	---M--	200	added ('OK')	text/css	date:Wed,%2026%20Oct%202022%2013:26:59%20GMT	https://www.abdn.ac.uk/global/css/opentext_responsive/global.css?cb=20221026	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day4/Web17/Site17/www.abdn.ac.uk/global/css/opentext_responsive/global435c.css	(from https://www.abdn.ac.uk/)
18:07:38	1413/1413	---MCZ	200	added ('OK')	text/css	date:Fri,%2017%20Dec%202021%2011:58:22%20GMT	https://uoab-search.squiz.cloud/s/resources-global/css/funnelback.autocompletion-2.6.0.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day4/Web17/Site17/uoab-search.squiz.cloud/s/resources-global/css/funnelback.autocompletion-2.6.0.css	(from https://www.abdn.ac.uk/)
18:07:38	1776/1776	---M-Z	200	added ('OK')	text/css	etag:W/%226f0-qUoFmzF4tK3sCeMoGs4oGaMAlaQ%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day4/Web17/Site17/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	(from https://www.abdn.ac.uk/)
18:07:38	3145/3145	---M-Z	200	added ('OK')	text/css	etag:W/%22c49-gaQ0+U8rESTzIyu4bylE+C+yOsA%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick-theme.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day4/Web17/Site17/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick-theme.css	(from https://www.abdn.ac.uk/)
18:07:39	7083/7083	---M--	200	added ('OK')	text/css	date:Wed,%2026%20Oct%202022%2007:51:13%20GMT	https://www.abdn.ac.uk/global/css/opentext_responsive/slick_combined.css?cb=20221026	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day4/Web17/Site17/www.abdn.ac.uk/global/css/opentext_responsive/slick_combined435c.css	(from https://www.abdn.ac.uk/)
18:07:39	7444/7444	---M--	200	added ('OK')	text/css	date:Wed,%2006%20Jul%202022%2010:13:38%20GMT	https://www.abdn.ac.uk/study/search/assets/styles/prospectus_search.1657102418.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day4/Web17/Site17/www.abdn.ac.uk/study/search/assets/styles/prospectus_search.1657102418.css	(from https://www.abdn.ac.uk/)
18:07:41	42863/42863	---M-Z	200	added ('OK')	application/javascript	etag:W/%22a76f-O0GzvJVmhQFaNHoiOOcdsp36Dbs%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day4/Web17/Site17/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.js	(from https://www.abdn.ac.uk/)
18:07:41	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d6-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day4/Web17/Site17/code.jquery.com/jquery-3.6.0.min.js	(from https://www.abdn.ac.uk/)
18:07:41	73820/73820	---MC-	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2012:38:31%20GMT	https://www.abdn.ac.uk/about/our-website/accessibility.php	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day4/Web17/Site17/www.abdn.ac.uk/about/our-website/accessibility.html	(from https://www.abdn.ac.uk/)
18:07:41	17388/17388	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Sep%202018%2014:48:10%20GMT	https://www.abdn.ac.uk/global/images/layout/UoA_Primary_Logo_RGB_2018.png?cb=20221026	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day4/Web17/Site17/www.abdn.ac.uk/global/images/layout/UoA_Primary_Logo_RGB_2018435c.png	(from https://www.abdn.ac.uk/)
18:07:42	46704/46704	---MC-	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2012:38:31%20GMT	https://www.abdn.ac.uk/study/undergraduate/study-abroad-and-exchanges.php	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day4/Web17/Site17/www.abdn.ac.uk/study/undergraduate/study-abroad-and-exchanges.html	(from https://www.abdn.ac.uk/)
18:07:42	0/0	---M--	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2012:38:32%20GMT	https://www.abdn.ac.uk/global/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day4/Web17/Site17/www.abdn.ac.uk/global/index.html	(from https://www.abdn.ac.uk/)
18:07:42	57413/57413	---MC-	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2012:38:32%20GMT	https://www.abdn.ac.uk/study/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day4/Web17/Site17/www.abdn.ac.uk/study/index.html	(from https://www.abdn.ac.uk/)
18:07:42	65296/65296	---MC-	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2012:38:32%20GMT	https://www.abdn.ac.uk/study/undergraduate/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day4/Web17/Site17/www.abdn.ac.uk/study/undergraduate/index.html	(from https://www.abdn.ac.uk/)
18:07:43	44892/44892	---MC-	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2012:38:32%20GMT	https://www.abdn.ac.uk/study/undergraduate/finance.php	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day4/Web17/Site17/www.abdn.ac.uk/study/undergraduate/finance.html	(from https://www.abdn.ac.uk/)
18:07:43	47542/47542	---MC-	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2012:38:32%20GMT	https://www.abdn.ac.uk/study/undergraduate/how-to-apply.php	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day4/Web17/Site17/www.abdn.ac.uk/study/undergraduate/how-to-apply.html	(from https://www.abdn.ac.uk/)
18:07:43	58594/58594	---MC-	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2012:38:33%20GMT	https://www.abdn.ac.uk/study/undergraduate/degree-programmes/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day4/Web17/Site17/www.abdn.ac.uk/study/undergraduate/degree-programmes/index.html	(from https://www.abdn.ac.uk/)
18:07:48	42707/42707	---MC-	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2012:38:33%20GMT	https://www.abdn.ac.uk/study/postgraduate-taught/part-time.php	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day4/Web17/Site17/www.abdn.ac.uk/study/postgraduate-taught/part-time.html	(from https://www.abdn.ac.uk/)
